"LANG","syn_index","cov_index","type"
"fl1394",8,6,"artificial"
"fl1395",13,6,"artificial"
"fl1396",5,6,"artificial"
"fl1397",15,6,"artificial"
"fl1398",12,6,"artificial"
"fl1399",3,5,"artificial"
"fl14",16,6,"artificial"
"fl140",3,4,"artificial"
"fl1400",19,6,"artificial"
"fl1401",20,6,"artificial"
"fl1402",22,6,"artificial"
"fl1403",1,5,"artificial"
"fl1404",5,6,"artificial"
"fl1405",4,3,"artificial"
"fl1406",5,5,"artificial"
"fl1407",1,4,"artificial"
"fl1408",15,6,"artificial"
"fl1409",13,6,"artificial"
"fl141",0,1,"artificial"
"fl1410",13,6,"artificial"
"fl1411",13,4,"artificial"
"fl1412",11,6,"artificial"
"fl1413",12,6,"artificial"
"fl1414",7,6,"artificial"
"fl1415",0,3,"artificial"
"fl1416",3,3,"artificial"
"fl1417",3,6,"artificial"
"fl1418",1,5,"artificial"
"fl1419",11,6,"artificial"
"fl142",13,6,"artificial"
"fl1420",8,6,"artificial"
"fl1421",15,6,"artificial"
"fl1422",2,6,"artificial"
"fl1423",2,6,"artificial"
"fl1424",6,6,"artificial"
"fl1425",15,6,"artificial"
"fl1426",9,6,"artificial"
"fl1427",10,6,"artificial"
"fl1428",0,4,"artificial"
"fl1429",4,5,"artificial"
"fl143",11,6,"artificial"
"fl1430",0,1,"artificial"
"fl1431",18,6,"artificial"
"fl1432",2,5,"artificial"
"fl1433",0,3,"artificial"
"fl1434",17,6,"artificial"
"fl1435",0,4,"artificial"
"fl1436",6,6,"artificial"
"fl1437",2,5,"artificial"
"fl1438",9,5,"artificial"
"fl1439",14,6,"artificial"
"fl144",7,6,"artificial"
"fl1440",13,6,"artificial"
"fl1441",1,5,"artificial"
"fl1442",5,6,"artificial"
"fl1443",13,6,"artificial"
"fl1444",8,6,"artificial"
"fl1445",2,6,"artificial"
"fl1446",0,2,"artificial"
"fl1447",3,6,"artificial"
"fl1448",9,6,"artificial"
"fl1449",9,6,"artificial"
"fl145",10,6,"artificial"
"fl1450",15,6,"artificial"
"fl1451",1,3,"artificial"
"fl1452",13,6,"artificial"
"fl1453",13,6,"artificial"
"fl1454",10,6,"artificial"
"fl1455",13,6,"artificial"
"fl1456",4,5,"artificial"
"fl1457",2,6,"artificial"
"fl1458",8,6,"artificial"
"fl1459",4,3,"artificial"
"fl146",11,6,"artificial"
"fl1460",9,6,"artificial"
"fl1461",14,6,"artificial"
"fl1462",8,6,"artificial"
"fl1463",9,6,"artificial"
"fl1464",9,6,"artificial"
"fl1465",10,6,"artificial"
"fl1466",7,6,"artificial"
"fl1467",17,6,"artificial"
"fl1468",4,6,"artificial"
"fl1469",8,6,"artificial"
"fl147",12,6,"artificial"
"fl1470",0,2,"artificial"
"fl1471",12,6,"artificial"
"fl1472",14,6,"artificial"
"fl1473",10,6,"artificial"
"fl1474",0,3,"artificial"
"fl1475",5,6,"artificial"
"fl1476",15,6,"artificial"
"fl1477",3,6,"artificial"
"fl1478",13,6,"artificial"
"fl1479",9,6,"artificial"
"fl148",0,4,"artificial"
"fl1480",0,3,"artificial"
"fl1481",8,6,"artificial"
"fl1482",7,6,"artificial"
"fl1483",19,6,"artificial"
"fl1484",1,4,"artificial"
"fl1485",1,6,"artificial"
"fl1486",16,6,"artificial"
"fl1487",7,6,"artificial"
"fl1488",8,6,"artificial"
"fl1489",3,4,"artificial"
"fl149",1,3,"artificial"
"fl1490",10,6,"artificial"
"fl1491",7,6,"artificial"
"fl1492",10,6,"artificial"
"fl1493",0,4,"artificial"
"fl1494",8,6,"artificial"
"fl1495",17,6,"artificial"
"fl1496",1,6,"artificial"
"fl1497",0,1,"artificial"
"fl1498",3,4,"artificial"
"fl1499",2,3,"artificial"
"fl15",2,5,"artificial"
"fl150",19,6,"artificial"
"fl1500",2,4,"artificial"
"fl1501",10,6,"artificial"
"fl1502",16,6,"artificial"
"fl1503",6,6,"artificial"
"fl1504",6,5,"artificial"
"fl1505",2,3,"artificial"
"fl1506",0,4,"artificial"
"fl1507",2,3,"artificial"
"fl1508",10,6,"artificial"
"fl1509",8,6,"artificial"
"fl151",14,6,"artificial"
"fl1510",15,6,"artificial"
"fl1511",2,5,"artificial"
"fl1512",6,6,"artificial"
"fl1513",10,6,"artificial"
"fl1514",4,6,"artificial"
"fl1515",1,5,"artificial"
"fl1516",18,6,"artificial"
"fl1517",11,6,"artificial"
"fl1518",0,3,"artificial"
"fl1519",0,5,"artificial"
"fl152",21,6,"artificial"
"fl1520",0,2,"artificial"
"fl1521",1,6,"artificial"
"fl1522",0,4,"artificial"
"fl1523",10,6,"artificial"
"fl1524",13,6,"artificial"
"fl1525",2,5,"artificial"
"fl1526",20,6,"artificial"
"fl1527",7,6,"artificial"
"fl1528",4,6,"artificial"
"fl1529",14,6,"artificial"
"fl153",9,5,"artificial"
"fl1530",12,6,"artificial"
"fl1531",0,2,"artificial"
"fl1532",8,6,"artificial"
"fl1533",12,6,"artificial"
"fl1534",1,4,"artificial"
"fl1535",0,4,"artificial"
"fl1536",3,5,"artificial"
"fl1537",5,6,"artificial"
"fl1538",17,6,"artificial"
"fl1539",11,6,"artificial"
"fl154",3,4,"artificial"
"fl1540",0,2,"artificial"
"fl1541",12,6,"artificial"
"fl1542",4,5,"artificial"
"fl1543",17,6,"artificial"
"fl1544",0,4,"artificial"
"fl1545",0,3,"artificial"
"fl1546",11,6,"artificial"
"fl1547",10,6,"artificial"
"fl1548",6,5,"artificial"
"fl1549",19,6,"artificial"
"fl155",14,6,"artificial"
"fl1550",0,3,"artificial"
"fl1551",1,4,"artificial"
"fl1552",1,4,"artificial"
"fl1553",8,6,"artificial"
"fl1554",3,6,"artificial"
"fl1555",8,6,"artificial"
"fl1556",0,4,"artificial"
"fl1557",3,4,"artificial"
"fl1558",17,6,"artificial"
"fl1559",11,5,"artificial"
"fl156",2,4,"artificial"
"fl1560",5,5,"artificial"
"fl1561",7,6,"artificial"
"fl1562",12,6,"artificial"
"fl1563",0,2,"artificial"
"fl1564",1,6,"artificial"
"fl1565",0,4,"artificial"
"fl1566",19,6,"artificial"
"fl1567",14,6,"artificial"
"fl1568",11,6,"artificial"
"fl1569",10,6,"artificial"
"fl157",1,5,"artificial"
"fl1570",9,6,"artificial"
"fl1571",10,6,"artificial"
"fl1572",0,3,"artificial"
"fl1573",0,1,"artificial"
"fl1574",0,3,"artificial"
"fl1575",0,3,"artificial"
"fl1576",12,6,"artificial"
"fl1577",13,6,"artificial"
"fl1578",6,5,"artificial"
"fl1579",3,6,"artificial"
"fl158",7,6,"artificial"
"fl1580",0,2,"artificial"
"fl1581",0,4,"artificial"
"fl1582",12,6,"artificial"
"fl1583",8,5,"artificial"
"fl1584",2,4,"artificial"
"fl1585",2,4,"artificial"
"fl1586",6,6,"artificial"
"fl1587",12,6,"artificial"
"fl1588",2,5,"artificial"
"fl1589",0,1,"artificial"
"fl159",9,6,"artificial"
"fl1590",7,6,"artificial"
"fl1591",0,4,"artificial"
"fl1592",0,4,"artificial"
"fl1593",10,6,"artificial"
"fl1594",0,4,"artificial"
"fl1595",6,6,"artificial"
"fl1596",0,2,"artificial"
"fl1597",3,5,"artificial"
"fl1598",3,5,"artificial"
"fl1599",0,4,"artificial"
"fl16",9,5,"artificial"
"fl160",0,3,"artificial"
"fl1600",0,3,"artificial"
"fl1601",6,6,"artificial"
"fl1602",12,6,"artificial"
"fl1603",14,6,"artificial"
"fl1604",4,4,"artificial"
"fl1605",13,6,"artificial"
"fl1606",17,6,"artificial"
"fl1607",1,3,"artificial"
"fl1608",0,3,"artificial"
"fl1609",6,6,"artificial"
"fl161",12,6,"artificial"
"fl1610",16,6,"artificial"
"fl1611",0,3,"artificial"
"fl1612",2,5,"artificial"
"fl1613",15,6,"artificial"
"fl1614",8,6,"artificial"
"fl1615",16,6,"artificial"
"fl1616",18,6,"artificial"
"fl1617",0,2,"artificial"
"fl1618",2,5,"artificial"
"fl1619",2,5,"artificial"
"fl162",14,6,"artificial"
"fl1620",14,6,"artificial"
"fl1621",14,6,"artificial"
"fl1622",10,6,"artificial"
"fl1623",11,6,"artificial"
"fl1624",2,5,"artificial"
"fl1625",2,5,"artificial"
"fl1626",1,4,"artificial"
"fl1627",0,3,"artificial"
"fl1628",13,6,"artificial"
"fl1629",12,6,"artificial"
"fl163",0,2,"artificial"
"fl1630",12,6,"artificial"
"fl1631",6,5,"artificial"
"fl1632",6,6,"artificial"
"fl1633",6,5,"artificial"
"fl1634",4,5,"artificial"
"fl1635",11,6,"artificial"
"fl1636",13,6,"artificial"
"fl1637",11,6,"artificial"
"fl1638",5,6,"artificial"
"fl1639",8,6,"artificial"
"fl164",11,6,"artificial"
"fl1640",12,6,"artificial"
"fl1641",6,5,"artificial"
"fl1642",15,6,"artificial"
"fl1643",9,6,"artificial"
"fl1644",5,6,"artificial"
"fl1645",0,5,"artificial"
"fl1646",9,6,"artificial"
"fl1647",4,6,"artificial"
"fl1648",8,6,"artificial"
"fl1649",4,4,"artificial"
"fl165",4,5,"artificial"
"fl1650",2,4,"artificial"
"fl1651",4,6,"artificial"
"fl1652",14,6,"artificial"
"fl1653",19,6,"artificial"
"fl1654",0,2,"artificial"
"fl1655",18,6,"artificial"
"fl1656",0,5,"artificial"
"fl1657",0,4,"artificial"
"fl1658",6,6,"artificial"
"fl1659",5,5,"artificial"
"fl166",8,6,"artificial"
"fl1660",10,6,"artificial"
"fl1661",6,5,"artificial"
"fl1662",3,4,"artificial"
"fl1663",0,3,"artificial"
"fl1664",3,5,"artificial"
"fl1665",5,6,"artificial"
"fl1666",14,6,"artificial"
"fl1667",14,6,"artificial"
"fl1668",5,6,"artificial"
"fl1669",0,2,"artificial"
"fl167",7,6,"artificial"
"fl1670",5,5,"artificial"
"fl1671",9,6,"artificial"
"fl1672",9,6,"artificial"
"fl1673",10,6,"artificial"
"fl1674",8,6,"artificial"
"fl1675",10,6,"artificial"
"fl1676",0,5,"artificial"
"fl1677",13,6,"artificial"
"fl1678",3,4,"artificial"
"fl1679",0,5,"artificial"
"fl168",1,4,"artificial"
"fl1680",4,6,"artificial"
"fl1681",12,6,"artificial"
"fl1682",11,6,"artificial"
"fl1683",1,2,"artificial"
"fl1684",2,2,"artificial"
"fl1685",4,6,"artificial"
"fl1686",10,6,"artificial"
"fl1687",7,6,"artificial"
"fl1688",0,1,"artificial"
"fl1689",1,4,"artificial"
"fl169",0,4,"artificial"
"fl1690",11,6,"artificial"
"fl1691",3,6,"artificial"
"fl1692",3,5,"artificial"
"fl1693",2,5,"artificial"
"fl1694",1,5,"artificial"
"fl1695",3,6,"artificial"
"fl1696",8,6,"artificial"
"fl1697",4,4,"artificial"
"fl1698",13,6,"artificial"
"fl1699",16,6,"artificial"
"fl17",6,6,"artificial"
"fl170",10,6,"artificial"
"fl1700",2,5,"artificial"
"fl1701",1,5,"artificial"
"fl1702",18,6,"artificial"
"fl1703",8,6,"artificial"
"fl1704",6,6,"artificial"
"fl1705",12,6,"artificial"
"fl1706",6,5,"artificial"
"fl1707",22,6,"artificial"
"fl1708",2,4,"artificial"
"fl1709",7,5,"artificial"
"fl171",13,6,"artificial"
"fl1710",9,6,"artificial"
"fl1711",0,2,"artificial"
"fl1712",0,4,"artificial"
"fl1713",1,4,"artificial"
"fl1714",17,6,"artificial"
"fl1715",7,6,"artificial"
"fl1716",1,6,"artificial"
"fl1717",8,5,"artificial"
"fl1718",11,6,"artificial"
"fl1719",13,6,"artificial"
"fl172",2,4,"artificial"
"fl1720",4,4,"artificial"
"fl1721",5,6,"artificial"
"fl1722",8,6,"artificial"
"fl1723",19,6,"artificial"
"fl1724",6,6,"artificial"
"fl1725",13,6,"artificial"
"fl1726",12,6,"artificial"
"fl1727",10,6,"artificial"
"fl1728",19,6,"artificial"
"fl1729",16,6,"artificial"
"fl173",4,5,"artificial"
"fl1730",21,6,"artificial"
"fl1731",12,6,"artificial"
"fl1732",5,6,"artificial"
"fl1733",20,6,"artificial"
"fl1734",19,6,"artificial"
"fl1735",16,6,"artificial"
"fl1736",0,4,"artificial"
"fl1737",4,6,"artificial"
"fl1738",10,6,"artificial"
"fl1739",13,6,"artificial"
"fl174",4,6,"artificial"
"fl1740",9,6,"artificial"
"fl1741",3,5,"artificial"
"fl1742",4,5,"artificial"
"fl1743",4,5,"artificial"
"fl1744",4,6,"artificial"
"fl1745",15,6,"artificial"
"fl1746",19,6,"artificial"
"fl1747",17,6,"artificial"
"fl1748",7,4,"artificial"
"fl1749",15,6,"artificial"
"fl175",9,5,"artificial"
"fl1750",2,6,"artificial"
"fl1751",18,6,"artificial"
"fl1752",6,6,"artificial"
"fl1753",6,6,"artificial"
"fl1754",16,6,"artificial"
"fl1755",7,4,"artificial"
"fl1756",0,2,"artificial"
"fl1757",2,5,"artificial"
"fl1758",5,5,"artificial"
"fl1759",2,4,"artificial"
"fl176",1,5,"artificial"
"fl1760",6,6,"artificial"
"fl1761",13,5,"artificial"
"fl1762",8,4,"artificial"
"fl1763",0,1,"artificial"
"fl1764",0,4,"artificial"
"fl1765",9,6,"artificial"
"fl1766",13,5,"artificial"
"fl1767",3,5,"artificial"
"fl1768",7,5,"artificial"
"fl1769",11,6,"artificial"
"fl177",13,6,"artificial"
"fl1770",13,6,"artificial"
"fl1771",3,5,"artificial"
"fl1772",0,1,"artificial"
"fl1773",11,6,"artificial"
"fl1774",0,3,"artificial"
"fl1775",3,5,"artificial"
"fl1776",12,6,"artificial"
"fl1777",8,5,"artificial"
"fl1778",12,6,"artificial"
