"LANG","complexityoflanguages","costoflanguages","type","minimal"
"fl100",4,5.89259245182623,"artificial",3.43195051667803
"fl1002",4,5.89259245182623,"artificial",3.43195051667803
"fl1003",6,2.81793360090681,"artificial",1.40997418273984
"fl1022",3,3.97732228521588,"artificial",1.94111962366695
"fl103",6,2.26430506582441,"artificial",0.857983252086971
"fl1035",11,1.76204389111464,"artificial",0.561310797840904
"fl1046",3,4.26329716313512,"artificial",2.08924787397121
"fl1065",1,4.28164000080908,"artificial",0.188008360120295
"fl1072",4,3.07253407888663,"artificial",1.42255427298514
"fl1095",10,1.79057979604581,"artificial",0.565504306588035
"fl110",6,2.0804673074772,"artificial",0.674695850793932
"fl1109",6,2.07698013681695,"artificial",0.671222028841254
"fl112",2,4.52119309262167,"artificial",1.21624959074129
"fl1168",10,2.33522270796656,"artificial",1.10963828551686
"fl1182",7,2.15999854545553,"artificial",0.818671850069445
"fl1186",10,1.62197672482368,"artificial",0.39734155896097
"fl1206",6,2.15102291949926,"artificial",0.745008170988353
"fl1208",2,4.84323338273858,"artificial",1.28720644417798
"fl1217",2,4.84323338273858,"artificial",1.28720644417798
"fl1230",12,2.15244670209151,"artificial",0.971770940029745
"fl1288",6,2.61087770707021,"artificial",1.20352717388779
"fl1340",1,4.28164000080908,"artificial",0.188008360120295
"fl1346",9,2.29286911552254,"artificial",1.03732451861657
"fl1351",4,3.17656592334704,"artificial",1.52468773371267
"fl1369",4,3.14026159020733,"artificial",1.48905053445665
"fl1383",4,2.29085711989806,"artificial",0.65388862459798
"fl1403",6,2.89968059641764,"artificial",1.4914750037883
"fl1418",7,2.26613401726968,"artificial",0.924664134395897
"fl1422",4,3.16836874389533,"artificial",1.51664054439521
"fl1423",9,2.25764303927671,"artificial",1.00212343635961
"fl1441",5,3.85093785760486,"artificial",2.34264592869942
"fl1445",5,2.33096334946741,"artificial",0.832741282408965
"fl1457",5,3.03982001667391,"artificial",1.53709119658351
"fl1485",8,3.00822649820541,"artificial",1.71455561232034
"fl1496",9,1.80553526113467,"artificial",0.550620329637686
"fl1515",6,2.61456041530557,"artificial",1.20719850159689
"fl1519",9,2.52713870986827,"artificial",1.27146311127397
"fl1521",7,2.40350577564885,"artificial",1.0618587605041
"fl1564",7,2.31896505785031,"artificial",0.977435484617195
"fl157",4,3.3383897144372,"artificial",1.68346413785413
"fl1645",2,4.84323338273858,"artificial",1.28720644417798
"fl1656",6,2.07736210607675,"artificial",0.671602529195179
"fl1676",1,4.28164000080908,"artificial",0.188008360120295
"fl1679",3,4.26329716313512,"artificial",2.08924787397121
"fl1716",3,2.98593150073614,"artificial",1.07490765426862
"fl1750",5,2.73516950597033,"artificial",1.23441147035828
"fl1821",13,1.70543045707836,"artificial",0.542553923857811
"fl1827",4,3.09954689746859,"artificial",1.44907811280556
"fl183",4,3.29785377770023,"artificial",1.64370126152463
"fl1858",1,4.27822439706397,"artificial",0.18718239826178
"fl1875",4,5.89259245182623,"artificial",3.43195051667803
"fl1886",3,4.26329716313512,"artificial",2.08924787397121
"fl1888",2,4.28164000080908,"artificial",1.15297853711492
"fl1909",10,2.01160358848594,"artificial",0.786236601394555
"fl1929",6,3.01077903209095,"artificial",1.60224990738169
"fl193",5,3.06890995078735,"artificial",1.56599482836468
"fl1957",1,4.27822439706397,"artificial",0.18718239826178
"fl1959",2,4.28164000080908,"artificial",1.15297853711492
"fl1967",6,2.11513989866814,"artificial",0.709242844545945
"fl1993",6,3.0212793149722,"artificial",1.61271573310146
"fl2",1,4.28164000080908,"artificial",0.188008360120295
"fl2031",6,2.61087770707021,"artificial",1.20352717388779
"fl2032",5,3.55703431494987,"artificial",2.05081334878405
"fl2051",4,2.26928900115651,"artificial",0.632653878287941
"fl2058",1,4.28164000080908,"artificial",0.188008360120295
"fl206",2,4.52119309262167,"artificial",1.21624959074129
"fl2098",9,2.77786741374168,"artificial",1.52209627267192
"fl2102",6,1.91653775147533,"artificial",0.511192346786503
"fl2136",1,4.27822439706397,"artificial",0.18718239826178
"fl2154",7,2.27252838968571,"artificial",0.931050922099598
"fl2162",6,2.51039568918845,"artificial",1.10336159252204
"fl2206",4,2.70296936428072,"artificial",1.05940167822289
"fl2220",1,4.28164000080908,"artificial",0.188008360120295
"fl2231",6,2.4237787252751,"artificial",1.01697264726076
"fl2259",5,3.26334718015989,"artificial",1.7591356790116
"fl2265",6,2.17236478657657,"artificial",0.766285256823492
"fl2278",2,4.28164000080908,"artificial",1.15297853711492
"fl2289",8,2.39939663993862,"artificial",1.10624793153931
"fl2290",7,1.76557927522439,"artificial",0.424863757590297
